Song,Artist,Weeks On Chart,Peak Rank
566,Look At My Dab,Migos,0,87
567,The Sound Of Silence,Disturbed,20,42
568,Wild Things,Alessia Cara,20,50
569,Saved,Ty Dolla $ign Featuring E-40,9,81
570,Cut It,O.T. Genasis Featuring Young Dolph,20,35
571,Panda,Desiigner,40,1
572,Might Not,Belly Featuring The Weeknd,17,68
573,Piece By Piece,Kelly Clarkson,15,8
574,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,34,4
575,It's You,Zayn,0,59
576,Hello Friday,Flo Rida Featuring Jason Derulo,0,79
577,T-Shirt,Thomas Rhett,25,19
578,Til It Happens To You,Lady Gaga,0,95
579,Head Over Boots,Jon Pardi,24,51
580,No,Meghan Trainor,20,3
581,Came Here To Forget,Blake Shelton,19,36
582,Try Everything,Shakira,9,63
583,Untitled 02 l 06.23.2014.,Kendrick Lamar,0,79
584,American Country Love Song,Jake Owen,17,55
585,Untitled 07 l Levitate,Kendrick Lamar,0,90
586,Something New,Zendaya Featuring Chris Brown,3,92
587,Gotta Lotta,2 Chainz Featuring Lil Wayne,0,100
588,Dangerous Woman,Ariana Grande,21,8
589,Like I Would,Zayn,3,55
590,Ride,twenty one pilots,39,5
591,Light It Up,Major Lazer Featuring Nyla & Fuse ODG,20,57
592,Fast Car,Jonas Blue Featuring Dakota,5,98
593,Team,Iggy Azalea,8,42
594,Be Alright,Dean Lewis,13,40
595,Body,Loud Luxury Featuring Brando,18,62
596,Close,Rae Sremmurd & Travis Scott,20,14
597,Noise,Kenny Chesney,14,72
598,With Them,Young Thug,0,87
599,All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",20,27
600,"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,20,37
601,Digits,Young Thug,0,93
602,Moolah,Young Greatness,9,85
603,New Level,A$AP Ferg Featuring Future,3,90
604,Uber Everywhere,MadeinTYO,20,51
605,Pop Style,Drake Featuring The Throne,20,16
606,One Dance,Drake Featuring WizKid & Kyla,36,1
607,Famous,Mason Ramsey,14,34
608,Father Stretch My Hands Pt. 1,Kanye West,23,37
609,Lights Come On,Jason Aldean,19,43
610,Pt. 2,Kanye West,3,54
611,Ultralight Beam,Kanye West,2,67
612,Wasted Time,Keith Urban,17,51
613,Kiss It Better,Rihanna,12,62
614,FML,Kanye West,0,84
615,Real Friends,Kanye West,0,92
616,Come And See Me,PARTYNEXTDOOR Featuring Drake,24,55
617,Never Be Like You,Flume Featuring Kai,26,20
618,Feedback,Kanye West,0,99
619,Record Year,Eric Church,20,44
620,Messin' Around,Pitbull Featuring Enrique Iglesias,8,64
621,Law,Yo Gotti Featuring E-40,9,79
622,Faded,Alan Walker,8,80
623,Ain't Your Mama,Jennifer Lopez,2,76
624,If It Ain't Love,Jason Derulo,8,67
625,Purple Rain,Prince And The Revolution,18,4
626,When Doves Cry,Prince,23,8
627,Kiss,Prince And The Revolution,20,23
628,Little Red Corvette,Prince,24,20
629,Let's Go Crazy,Prince And The Revolution,21,25
630,1999,Prince,30,27
631,Just Like Fire,P!nk,26,10
632,Wicked,Future,20,41
633,I Hate U I Love U,gnash Featuring Olivia O'Brien,39,10
634,You Don't Own Me,Grace Featuring G-Eazy,20,57
635,Let Me Love You,DJ Snake Featuring Justin Bieber,33,4
636,Formation,Beyonce,7,10
637,Hold Up,Beyonce,14,13
638,6 Inch,Beyonce Featuring The Weeknd,3,18
639,Don't Hurt Yourself,Beyonce Featuring Jack White,2,28
640,Raspberry Beret,Prince And The Revolution,18,33
641,Freedom,Beyonce Featuring Kendrick Lamar,2,35
642,Pray You Catch Me,Beyonce,2,37
643,All Night,Beyonce,2,38
644,I Would Die 4 U,Prince And The Revolution,16,39
645,Daddy Lessons,Beyonce,2,41
646,Sandcastles,Beyonce,2,43
647,Love Drought,Beyonce,2,47
648,Forward,Beyonce Featuring James Blake,0,63
649,Wake Up,Travis Scott,13,30
650,Go Flex,Post Malone,11,76
651,This Is What You Came For,Calvin Harris Featuring Rihanna,32,3
652,H.O.L.Y.,Florida Georgia Line,22,14
653,My Boo,Ghost Town DJ's,36,27
654,Hype,Drake,10,33
655,Controlla,Drake,26,16
656,Grammys,Drake Featuring Future,9,38
657,Still Here,Drake,10,40
658,U With Me?,Drake,4,44
659,9,Drake,5,45
660,With You,Drake Featuring PARTYNEXTDOOR,7,47
661,Childs Play,Drake,14,49
662,Too Good,Drake Featuring Rihanna,29,14
663,Feel No Ways,Drake,6,53
664,Weston Road Flows,Drake,2,54
665,Redemption,Drake,3,61
666,Don't Mind,Kent Jones,20,8
667,Keep The Family Close,Drake,2,68
668,Faithful,Drake Featuring Pimp C & dvsn,2,72
669,True Colors,Zedd & Kesha,2,48
670,Fire & Desire,Drake,4,75
671,Views,Drake,0,86
672,Can't Stop The Feeling!,Justin Timberlake,52,1
673,Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,0,70
674,Into You,Ariana Grande,24,13
675,Church Bells,Carrie Underwood,17,43
676,Me Too,Meghan Trainor,20,13
677,Wherever I Go,OneRepublic,12,55
678,The Fighter,Keith Urban Featuring Carrie Underwood,23,38
679,No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,26,43
680,THat Part,ScHoolboy Q Featuring Kanye West,20,40
681,I'm Sorry,Adam Wakefield,0,94
682,Unsteady,X Ambassadors,34,20
683,Lonesome Broken And Blue,Adam Wakefield,0,73
684,Love On The Brain,Rihanna,31,5
685,From The Ground Up,Dan + Shay,16,48
686,Every Breath You Take,Hannah Huston,0,94
687,Gold,Kiiara,27,13
688,With You Tonight / Hasta El Amanecer,Nicky Jam,19,73
689,Down That Road,Alisan Porter,0,100
690,Kill Em With Kindness,Selena Gomez,15,39
691,Peter Pan,Kelsea Ballerini,20,35
692,Make You Miss Me,Sam Hunt,19,45
693,Different For Girls,Dierks Bentley Featuring Elle King,20,42
694,Fix,Chris Lane,12,65
695,"Sit Still, Look Pretty",Daya,24,28
696,For Free,DJ Khaled Featuring Drake,20,13
697,Treat You Better,Shawn Mendes,39,6
698,Nothing Is Promised,Mike WiLL Made-It x Rihanna,0,75
699,Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",3,71
700,Broccoli,D.R.A.M. Featuring Lil Yachty,37,5
701,Sweatshirt,Jacob Sartorius,0,90
702,Money Longer,Lil Uzi Vert,22,54
703,My PYT,Wale,15,54
704,Toothbrush,DNCE,10,44
705,Heathens,twenty one pilots,39,2
706,Dark Necessities,Red Hot Chili Peppers,2,67
707,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,18,24
708,What The World Needs Now Is Love,Broadway For Orlando,0,86
709,Ain't No Stopping Us Now,Kane Brown,0,88
710,Why You Always Hatin?,YG Featuring Drake & Kamaiyah,18,62
711,Night's On Fire,David Nail,5,81
712,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",22,15
713,I Got The Keys,DJ Khaled Featuring Jay Z & Future,17,30
714,No Limit,Usher Featuring Young Thug,29,4
715,She's Got A Way With Words,Blake Shelton,12,61
716,Luv,Tory Lanez,22,19
717,M.I.L.F. $,Fergie,3,34
718,Bored To Death,Blink-182,2,85
719,Brand New,Ben Rector,5,82
720,Lockjaw,French Montana Featuring Kodak Black,13,73
721,Flexicution,Logic,0,100
722,Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda,0,72
723,Duele El Corazon,Enrique Iglesias Featuring Wisin,8,82
724,You Was Right,Lil Uzi Vert,28,40
725,You & Me,Marc E. Bassy Featuring G-Eazy,16,58
726,La Bicicleta,Carlos Vives & Shakira,0,95
727,Lush Life,Zara Larsson,3,75
728,No Money,Galantis,5,88
729,Rise,Katy Perry,9,11
730,Make Me...,Britney Spears Featuring G-Eazy,9,17
731,Vice,Miranda Lambert,19,47
732,Girls Talk Boys,5 Seconds Of Summer,0,68
733,Mama Said,Lukas Graham,11,36
734,Body Say,Demi Lovato,0,84
735,No Shopping,French Montana Featuring Drake,11,36
736,A Little More Summertime,Jason Aldean,13,52
737,"Wat U Mean (Aye, Aye, Aye)",Dae Dae,17,66
738,Sex With Me,Rihanna,15,83
739,Cold Water,Major Lazer Featuring Justin Bieber & MO,27,2
740,Tiimmy Turner,Desiigner,20,34
741,Purple Lamborghini,Skrillex & Rick Ross,10,33
742,Hit Or Miss,Jacob Sartorius,2,72
743,Back On Road,Gucci Mane & Drake,0,81
744,1 Night,Lil Yachty,20,49
745,P**** Print,Gucci Mane Featuring Kanye West,0,89
746,This Girl,Kungs vs Cookin' On 3 Burners,14,26
747,It Don't Hurt Like It Used To,Billy Currington,17,44
748,Middle Of A Memory,Cole Swindell,20,46
749,Castaway,Zac Brown Band,2,96
750,Closer,The Chainsmokers Featuring Halsey,52,1
751,Setting The World On Fire,Kenny Chesney Featuring P!nk,20,29
752,Holy Key,"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",0,84
753,Starving,Hailee Steinfeld & Grey Featuring Zedd,29,12
754,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,26,29
755,Gangsta,Kehlani,12,41
756,Bohemian Rhapsody,Queen,44,33
757,Cool Girl,Tove Lo,5,84
758,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",20,27
759,You Look Like I Need A Drink,Justin Moore,8,79
760,Look Alive,Rae Sremmurd,25,5
761,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,20,43
762,In The Name Of Love,Martin Garrix & Bebe Rexha,23,24
763,Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",14,77
764,Rock On,Tucker Beathard,10,62
765,Nikes,Frank Ocean,0,79
766,Ivy,Frank Ocean,0,80
767,Pink + White,Frank Ocean,0,84
768,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,20,50
769,Mercy,Shawn Mendes,32,15
770,Solo,Frank Ocean,13,58
771,Nights,Frank Ocean,0,98
772,I Met A Girl,William Michael Morgan,9,60
773,Move,Luke Bryan,14,50
774,Side To Side,Ariana Grande Featuring Nicki Minaj,28,4
775,May We All,Florida Georgia Line Featuring Tim McGraw,20,30
776,Grass Ain't Greener,Chris Brown,4,71
777,OOOUUU,Young M.A,20,19
778,Wyclef Jean,Young Thug,0,87
779,Scars To Your Beautiful,Alessia Cara,43,8
780,I Know Somebody,LOCASH,11,52
781,The Greatest,Sia Featuring Kendrick Lamar,23,18
782,Goosebumps,Travis Scott,34,32
783,Caroline,Amine,28,11
784,Fade,Kanye West,13,47
785,Perfect Illusion,Lady Gaga,6,15
786,Blue Ain't Your Color,Keith Urban,21,24
787,Deja Vu,Post Malone Featuring Justin Bieber,20,7
788,Sleep Without You,Brett Young,18,47
789,Black Beatles,Rae Sremmurd Featuring Gucci Mane,27,1
790,X,"ScHoolboy Q, 2 Chainz & Saudi",21,36
791,Forever Country,"Artists Of Then, Now & Forever",4,21
792,Starboy,The Weeknd Featuring Daft Punk,30,1
793,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,21,5
794,Key To The Streets,YFN Lucci Featuring Migos & Trouble,11,70
795,Cancer,twenty one pilots,0,91
796,This Town,Niall Horan,22,20
797,HandClap,Fitz And The Tantrums,20,53
798,Song For Another Time,Old Dominion,18,59
799,Capsize,Frenship & Emily Warren,10,78
800,CRZY,Kehlani,5,85
801,All We Know,The Chainsmokers Featuring Phoebe Ryan,16,18
802,False Alarm,The Weeknd,4,55
803,Cranes In The Sky,Solange,2,74
804,Don't Touch My Hair,Solange Featuring Sampha,0,91
805,LIFTED,CL,0,94
806,Fresh Eyes,Andy Grammer,18,59
807,Wanna Be That Song,Brett Eldredge,20,46
808,All Eyez,The Game Featuring Jeremih,5,79
809,24K Magic,Bruno Mars,41,4
810,Love Me Now,John Legend,19,23
811,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,27,6
812,Today,Brad Paisley,11,67
813,Million Reasons,Lady Gaga,20,4
814,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,4,77
815,All Time Low,Jon Bellion,22,16
816,Ain't My Fault,Zara Larsson,7,76
817,Kids,OneRepublic,0,96
818,Blow Your Mind (Mwah),Dua Lipa,0,72
819,Dirty Laundry,Carrie Underwood,16,48
820,Bad Things,Machine Gun Kelly x Camila Cabello,23,4
821,Alone,Marshmello,14,60
822,80s Mercedes,Maren Morris,13,74
823,My Sh*t,A Boogie Wit da Hoodie,12,86
824,How I'll Always Be,Tim McGraw,12,70
825,Fake Love,Drake,25,8
826,Sneakin',Drake Featuring 21 Savage,14,28
827,A-YO,Lady Gaga,0,66
828,Shout Out To My Ex,Little Mix,3,69
829,No Heart,21 Savage & Metro Boomin,19,43
830,Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,4,95
831,What They Want,Russ,8,83
832,Say You Won't Let Go,James Arthur,52,11
833,Litty,Meek Mill Featuring Tory Lanez,4,49
834,Better Man,Little Big Town,20,34
835,Froze,Meek Mill Featuring Lil Uzi Vert & Nicki Minaj,0,68
836,Offended,Meek Mill Featuring Young Thug & 21 Savage,0,70
837,"Two Birds, One Stone",Drake,0,73
838,On The Regular,Meek Mill,0,75
839,The Difference,Meek Mill Featuring Quavo,0,84
840,Star Of The Show,Thomas Rhett,19,45
841,Blue Notes,Meek Mill,0,93
842,Chantaje,Shakira Featuring Maluma,18,51
843,Blessed Up,Meek Mill,0,97
844,Used To This,Future Featuring Drake,18,14
845,Bounce Back,Big Sean,28,6
846,Setting Fires,The Chainsmokers Featuring XYLO,2,71
847,Selfish,PnB Rock,19,37
848,Kill A Word,Eric Church Featuring Rhiannon Giddens,15,71
849,Me And Your Mama,Childish Gambino,2,68
850,Bad And Boujee,Migos Featuring Lil Uzi Vert,36,1
851,We The People....,A Tribe Called Quest,0,77
852,A Guy With A Girl,Blake Shelton,17,42
853,Call On Me,Starley,18,65
854,Party Monster,The Weeknd,19,16
855,I Feel It Coming,The Weeknd Featuring Daft Punk,26,4
856,Love On The Weekend,John Mayer,2,53
857,That's My Girl,Fifth Harmony,3,73
858,Redbone,Childish Gambino,44,12
859,That's What I Like,Bruno Mars,52,1
860,Slumber Party,Britney Spears Featuring Tinashe,0,86
861,Play That Song,Train,20,41
862,Infinite,Eminem,0,97
863,Versace On The Floor,Bruno Mars,14,33
864,Parachute,Chris Stapleton,5,78
865,Sidewalks,The Weeknd Featuring Kendrick Lamar,4,27
866,Reminder,The Weeknd,17,31
867,Six Feet Under,The Weeknd,4,34
868,Die For You,The Weeknd,3,43
869,Rockin',The Weeknd,2,44
870,All I Know,The Weeknd Featuring Future,2,46
871,Secrets,The Weeknd,2,47
872,How Far I'll Go,Auli'i Cravalho,20,41
873,Stargirl Interlude,The Weeknd Featuring Lana Del Rey,0,61
874,Attention,The Weeknd,40,5
875,Nothing Without You,The Weeknd,0,68
876,A Lonely Night,The Weeknd,0,69
877,Love To Lay,The Weeknd,0,71
878,Ordinary Life,The Weeknd,2,72
879,You're Welcome,Dwayne Johnson,13,65
880,Distraction,Kehlani,0,85
881,We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda,2,93
882,Make Me (Cry),Noah Cyrus Featuring Labrinth,15,46
883,Black Barbies,Nicki Minaj X Mike WiLL Made-It,2,65
884,False Prophets,J. Cole,2,54
885,Dirt On My Boots,Jon Pardi,20,37
886,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,27,9
887,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,23,2
888,Immortal,J. Cole,5,11
889,Neighbors,J. Cole,6,13
890,Change,J. Cole,2,21
891,She's Mine Pt.1,J. Cole,2,22
892,For Whom The Bell Tolls,J. Cole,2,23
893,Ville Mentality,J. Cole,2,24
894,4 Your Eyez Only,J. Cole,0,29
895,Foldin Clothes,J. Cole,2,30
896,She's Mine Pt. 2,J. Cole,0,34
897,Just Hold On,Steve Aoki & Louis Tomlinson,6,52
898,Everybody Dies,J. Cole,0,57
899,Darlin' Don't Go,Sundance Head,0,67
900,Congratulations,Post Malone Featuring Quavo,50,8
901,At Last,Sundance Head,0,89
902,Both,Gucci Mane Featuring Drake,22,41
903,Feliz Navidad,Jose Feliciano,5,29
904,A Holly Jolly Christmas,Burl Ives,10,10
905,It's The Most Wonderful Time Of The Year,Andy Williams,10,10
906,Last Christmas,Wham!,9,25
907,Party,Chris Brown Featuring Usher & Gucci Mane,20,40
908,OTW,"Khalid, Ty Dolla $ign & 6LACK",18,57
909,Red Opps,21 Savage,5,74
910,Swang,Rae Sremmurd,26,26
911,Careless Whisper,Wham! Featuring George Michael,22,33
912,Faith,George Michael,21,47
913,Moves,Big Sean,19,38
914,Seein' Red,Dustin Lynch,9,55
915,iSpy,KYLE Featuring Lil Yachty,30,4
916,Think A Little Less,Michael Ray,16,54
917,No Flockin,Kodak Black,0,95
918,Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,4,86
919,Way Down We Go,Kaleo,8,54
920,Hate U Love U,Olivia O'Brien,0,99
921,Shaky Shaky,Daddy Yankee,2,88
922,Sober Saturday Night,Chris Young Featuring Vince Gill,11,47
923,Beibs In The Trap,Travis Scott,3,90
924,I Got You,Bebe Rexha,11,43
925,The Weekend,SZA,25,33
926,Water,Ugly God,4,80
927,Shape Of You,Ed Sheeran,59,1
928,Castle On The Hill,Ed Sheeran,33,6
929,Location,Khalid,43,16
930,Drinkin' Too Much,Sam Hunt,0,89
931,If The Boot Fits,Granger Smith,3,80
932,Paris,The Chainsmokers,20,6
933,Not Afraid Anymore,Halsey,0,77
934,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,52,1
935,Not Nice,PARTYNEXTDOOR,7,82
936,Black,Dierks Bentley,19,56
937,Down,Marian Hill,17,21
938,Fast,Luke Bryan,13,58
939,Guys My Age,Hey Violet,5,68
940,Road Less Traveled,Lauren Alaina,12,67
941,Issues,Meek Mill,29,11
942,Good Drank,2 Chainz x Gucci Mane x Quavo,16,70
943,Any Ol' Barstool,Jason Aldean,18,52
944,Dancing On My Own,Calum Scott,2,93
945,Running Back,Wale Featuring Lil Wayne,0,100
946,Body Like A Back Road,Sam Hunt,41,6
947,Slippery,Migos Featuring Gucci Mane,21,29
948,Kelly Price,Migos Featuring Travis Scott,2,58
949,Call Casting,Migos,0,62
950,Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,0,66
951,I'm Better,Missy Elliott Featuring Lamb,0,71
952,Get Right Witcha,Migos,0,72
953,Scared To Be Lonely,Martin Garrix & Dua Lipa,14,76
954,Culture,Migos Featuring DJ Khaled,0,93
955,El Amante,Nicky Jam,15,92
956,Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy,3,97
957,No Favors,Big Sean Featuring Eminem,3,22
958,Believer,Imagine Dragons,52,4
959,Bad Romance,Lady Gaga,35,50
960,My Old Man,Zac Brown Band,4,68
961,Sacrifices,Drake Featuring 2 Chainz & Young Thug,3,36
962,Halfway Off The Balcony,Big Sean,0,74
963,Jump Out The Window,Big Sean,0,76
964,Owe Me,Big Sean,0,86
965,Beauty And The Beast,Ariana Grande & John Legend,0,87
966,I Don't,Mariah Carey Featuring YG,0,89
967,Now & Later,Sage The Gemini,0,93
968,In Case You Didn't Know,Brett Young,28,19
969,Look At Me!,XXXTENTACION,20,34
970,Light,Big Sean Featuring Jeremih,0,97
971,Chained To The Rhythm,Katy Perry Featuring Skip Marley,15,4
972,Cold,Maroon 5 Featuring Future,20,16
973,Bom Bidi Bom,Nick Jonas & Nicki Minaj,0,54
974,Shining,DJ Khaled Featuring Beyonce & JAY Z,14,57
975,Helium,Sia,0,71
976,Heroe Favorito,Romeo Santos,0,77
977,Everything 1K,Kodak Black,0,84
978,Rolex,Ayo & Teo,25,20
979,Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,3,72
980,It Ain't Me,Kygo x Selena Gomez,29,10
981,Yeah Boy,Kelsea Ballerini,13,65
982,Hurricane,Luke Combs,22,31
983,Tunnel Vision,Kodak Black,20,6
984,How Would You Feel (Paean),Ed Sheeran,2,41
985,Love,Lana Del Rey,2,44
986,Draco,Future,8,46
987,Mask Off,Future,31,5
988,Heavy,Linkin Park Featuring Kiiara,19,45
989,Rent Money,Future,0,54
990,Something Just Like This,The Chainsmokers & Coldplay,39,3
991,Super Trapper,Future,0,91
992,Zoom,Future,0,99
993,Stay,Zedd & Alessia Cara,31,7
994,Slide,Calvin Harris Featuring Frank Ocean & Migos,20,25
995,Comin Out Strong,Future Featuring The Weeknd,3,48
996,Make Love,Gucci Mane & Nicki Minaj,0,78
997,Losin Control,Russ,19,62
998,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,19,46
999,Hometown Girl,Josh Turner,16,56
1000,Green Light,Lorde,9,19
1001,Dive,Ed Sheeran,2,49
1002,Galway Girl,Ed Sheeran,5,53
1003,Happier,Marshmello & Bastille,23,3
1004,New Man,Ed Sheeran,0,72
1005,Supermarket Flowers,Ed Sheeran,0,75
1006,What Do I Know?,Ed Sheeran,0,83
1007,Eraser,Ed Sheeran,0,90
1008,Hearts Don't Break Around Here,Ed Sheeran,0,93
1009,Barcelona,Ed Sheeran,0,96
1010,No Frauds,"Nicki Minaj, Drake & Lil Wayne",7,14
1011,Regret In Your Tears,Nicki Minaj,0,61
1012,Changed It,Nicki Minaj & Lil Wayne,0,71
1013,Chanel,Frank Ocean,0,72
1014,Liability,Lorde,0,78
1015,Prblms,6LACK,8,72
1016,Passionfruit,Drake,20,8
1017,Portland,Drake Featuring Quavo & Travis Scott,16,9
1018,Free Smoke,Drake,4,18
1019,Gyalchester,Drake,11,29
1020,Teenage Fever,Drake,4,35
1021,Blem,Drake,4,38
1022,No Long Talk,Drake Featuring Giggs,2,40
1023,Get It Together,Drake Featuring Jorja Smith & Black Coffee,2,45
1024,KMT,Drake Featuring Giggs,2,48
1025,Jorja Interlude,Drake,2,49
1026,4422,Drake Featuring Sampha,2,50
1027,Madiba Riddim,Drake,2,51
1028,Glow,Drake Featuring Kanye West,2,54
1029,Do Not Disturb,Drake,2,60
1030,Nothings Into Somethings,Drake,2,61
1031,Ice Melts,Drake Featuring Young Thug,2,62
1032,Lose You,Drake,0,64
1033,Since Way Back,Drake Featuring PARTYNEXTDOOR,0,70
1034,Skepta Interlude,Drake,0,76
1035,Can't Have Everything,Drake,2,82
1036,At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,8,60
1037,Trap Trap Trap,Rick Ross Featuring Young Thug & Wale,0,97
1038,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,20,29
1039,The Heart Part 4,Kendrick Lamar,2,22
1040,XO TOUR Llif3,Lil Uzi Vert,34,7
1041,Speak To A Girl,Tim McGraw & Faith Hill,2,61
1042,Still Got Time,Zayn Featuring PARTYNEXTDOOR,3,66
1043,Humble.,Kendrick Lamar,37,1
1044,Craving You,Thomas Rhett Featuring Maren Morris,20,39
1045,Everybody,Logic,2,59
1046,You Look Good,Lady Antebellum,20,59
1047,Tin Man,Miranda Lambert,0,75
1048,Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",9,81
1049,First Day Out,Tee Grizzley,20,48
1050,The One,The Chainsmokers,2,78
1051,Conscience,Kodak Black Featuring Future,0,93
1052,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,21,38
1053,Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",0,96
1054,How Not To,Dan + Shay,14,57
1055,Human,Rag'n'Bone Man,7,74
1056,Sign Of The Times,Harry Styles,13,4
1057,Now Or Never,Halsey,20,17
1058,Unforgettable,Thomas Rhett,42,3
1059,Everyday We Lit,YFN Lucci Featuring PnB Rock,20,33
1060,Cake,Flo Rida & 99 Percent,6,73
1061,Bar At The End Of The World,Kenny Chesney,0,92
1062,Weak,AJR,11,73
1063,If I Told You,Darius Rucker,11,53
1064,Flatliner,Cole Swindell,18,56
1065,DNA.,Kendrick Lamar,20,4
1066,Loyalty.,Kendrick Lamar Featuring Rihanna,26,14
1067,Element.,Kendrick Lamar,11,16
1068,Love.,Kendrick Lamar Featuring Zacari,40,11
1069,Yah.,Kendrick Lamar,3,32
1070,XXX.,Kendrick Lamar Featuring U2,3,33
1071,Feel.,Kendrick Lamar,2,35
1072,Pride.,Kendrick Lamar,2,37
1073,The Cure,Lady Gaga,14,39
1074,Lust.,Kendrick Lamar,2,42
1075,Fear.,Kendrick Lamar,2,50
1076,Blood.,Kendrick Lamar,0,54
1077,God.,Kendrick Lamar,2,58
1078,Duckworth.,Kendrick Lamar,0,63
1079,Good Life,G-Eazy & Kehlani,5,59
1080,Peek A Boo,Lil Yachty Featuring Migos,4,78
1081,Black SpiderMan,Logic Featuring Damian Lemar Hudson,0,87
1082,Broken Halos,Chris Stapleton,20,45
1083,The Night We Met,Lord Huron,4,84
1084,There's Nothing Holdin' Me Back,Shawn Mendes,34,6
1085,Lust For Life,Lana Del Rey Featuring The Weeknd,0,64
1086,Do Re Mi,blackbear,25,40
1087,Hard Times,Paramore,0,90
1088,My Girl,Dylan Scott,20,39
1089,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",22,1
1090,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,42,3
1091,First Time,Kygo & Ellie Goulding,0,67
1092,Thunder,Imagine Dragons,52,4
1093,Bon Appetit,Katy Perry Featuring Migos,6,59
1094,Privacy,Chris Brown,17,62
1095,Slow Hands,Niall Horan,31,11
1096,Magnolia,Playboi Carti,20,29
1097,Sweet Creature,Harry Styles,0,93
1098,Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,10,76
1099,Malibu,Miley Cyrus,15,10
1100,Every Time I Hear That Song,Blake Shelton,11,56
1101,Either Way,Chris Stapleton,2,89
1102,Drinkin' Problem,Midland,20,45
1103,Rollin,Calvin Harris Featuring Future & Khalid,4,62
1104,Bad Liar,Selena Gomez,14,20
1105,Whatever It Takes,Imagine Dragons,27,12
1106,Felices Los 4,Maluma,20,48
1107,No Promises,Cheat Codes Featuring Demi Lovato,23,38
1108,Ghost In This House,Lauren Duski,0,98
1109,Me Enamore,Shakira,2,83
1110,Strip That Down,Liam Payne Featuring Quavo,28,10
1111,Swish Swish,Katy Perry Featuring Nicki Minaj,10,46
1112,Crying In The Club,Camila Cabello,9,47
1113,Money On You,Chris Blue,0,66
1114,Yours If You Want It,Rascal Flatts,10,71
1115,Most Girls,Hailee Steinfeld,16,58
1116,The Dance,Lauren Duski,0,92
1117,Boy,Lee Brice,0,94
1118,Somethin Tells Me,Bryson Tiller,0,74
1119,Self-Made,Bryson Tiller,0,85
1120,Met Gala,Gucci Mane Featuring Offset,2,88
1121,Don't Get Too High,Bryson Tiller,0,89
1122,No Such Thing As A Broken Heart,Old Dominion,19,46
1123,Run Me Dry,Bryson Tiller,0,91
1124,There For You,Martin Garrix x Troye Sivan,0,94
1125,No Longer Friends,Bryson Tiller,0,98
1126,Butterfly Effect,Travis Scott,23,50
1127,Strangers,Halsey Featuring Lauren Jauregui,0,100
1128,To The Max,DJ Khaled Featuring Drake,4,53
1129,4 AM,2 Chainz Featuring Travis Scott,12,55
1130,Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,13,51
1131,Small Town Boy,Dustin Lynch,20,36
1132,Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",3,87
1133,It's Everyday Bro,Jake Paul Featuring Team 10,2,91
1134,Somebody Else Will,Justin Moore,13,59
1135,Nobody Else But You,Trey Songz,3,92
1136,2U,David Guetta Featuring Justin Bieber,11,16
1137,Love Galore,SZA Featuring Travis Scott,20,32
